EMIS,schoolName,districtName,priorityOrder,lowestlevelCode,projectNum,agent,programme,strategic,bid,parent,description,source,programmeName,projectSize,projectStage,nature,scoa,startDate,endDate,totalCost,MTEF_2011_12,MTEF_2012_13,MTEF_2013_14,MTEF_2014_15,MTEF_2015_16,Revised_15_16_Budget,IA_Required_Budget,Variance,MTEF_2016_17,MTEF_2017_18,MTEF_2018_19,MTEF_2019_20,MTEF_2020_21,MTEF_2021_22,MTEF_2022_23,MTEF_2023_24,MTEF_2024_25,MTEF_2025_26,MTEF_2026_27,MTEF_2028_29,MTEF_2029_30,MTEF_2030_31,MTEF_2031_32,MTEF_2032_33,MTEF_2033_34,PWC_List,Snap_survey,ecplanComments
200100001,A V BUKANI PRIMARY SCHOOL,UITENHAGE,,30777228,CDC/01/14,CDC,CDC ECD II,ECD COSTED,Active,ECD Centre,,Educational Infrastructure Grant,Early Childhood Development,Large,Under Construction,New Infrastructure Assets,Building & other fixed structures,1-Apr-15,31-Mar-17,, -   , -   ,407,"8,998","1,545","9,716","9,716", -   ,"3,480", -   ,,,,,,,,,,,,,,,,,,
200100002,AARON GQADU PRIMARY SCHOOL,PORT ELIZABETH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200100003,ABERDEEN PRIMARY PUBLIC SCHOOL,GRAAFF-REINET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200100005,ABERDEEN SECONDARY SCHOOL,GRAAFF-REINET,4,NA,,DOE,,COMBINED PRIORITY,Proposed,Re-alignment,,Educational Infrastructure Grant,Public Ordinary Schools,Large,Project Proposal / Concept Report,New Infrastructure Assets,Building & other fixed structures,6-Apr-16,31-Mar-17,"31,829", -   , -   , -   ,, -   ,,,,"3,183", -   ,,,,,,,,,,,,,,,,,,
200100005,ABERDEEN SECONDARY SCHOOL,GRAAFF-REINET,,NA,,Mvula Trust,Mvula Trust Fnc,FENCING ,Approved,Norms & Standards,,Educational Infrastructure Grant,Public Ordinary Schools,Large,Documentation,New Infrastructure Assets,Building & other fixed structures,1-Apr-15,31-Mar-17,988, -   , -   , -   ,,296,,,,692, -   ,,,,,,,,,,,,,,,,,,To cancel
200100006,ABRAHAM LEVY PRIMARY SCHOOL,PORT ELIZABETH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200100007,WINGS AVIATION ACADEMY,FORT BEAUFORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200100009,ADDO PRIMARY SCHOOL,UITENHAGE,1,NA,,DPW,,COMBINED PRIORITY,Approved,Re-alignment,,Educational Infrastructure Grant,Public Ordinary Schools,Large,Documentation,New Infrastructure Assets,Building & other fixed structures,,,"32,696", -   , -   , -   ,,"3,270",,, -   , -   , -   ,,,,,,,,,,,,,,,,ADDO P SCHOOL,#N/A,
200100010,UMICARE REMEDIAL SCHOOL,PORT ELIZABETH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200100011,BLESSINGS CHRISTIAN PRIMARY LEARNING ACADEMY,PORT ELIZABETH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
